AudienceScore,BOAveOpenWeek,WorldGross,Budget,Fantasy
65,5511,97.009,1.5,FALSE
58,15829,201.897,5,FALSE
38,10365,216.196,20,FALSE
92,38672,1328.111,125,TRUE
77,8995,288.382,32.5,FALSE
84,6177,139.177,17,FALSE
91,10278,199.324,25,FALSE
58,23775,581.464,80,FALSE
73,6860,161.849,27,FALSE
72,9310,209.638,35,FALSE
57,6512,147.7,25,FALSE
68,34012,634.8,110,FALSE
67,23937,1123.195,195,FALSE
52,8469,193.967,36,FALSE
73,10252,484.634,90,FALSE
78,10492,259.713,50,FALSE
87,15024,481.226,93,FALSE
31,2615,25.562,5,FALSE
50,10489,562.158,110,FALSE
83,23655,626.13,125,FALSE
79,2744,24.816,5,FALSE
93,3517,36.511,8,FALSE
79,3929,67.007,15,FALSE
80,12142,663.024,150,FALSE
57,7183,130.786,30,FALSE
76,4761,54.194,12.5,FALSE
68,6364,149.541,35,FALSE
61,21697,1043.871,250,FALSE
56,5715,157.887,40,FALSE
81,5002,123.278,32,FALSE
86,8672,534.5,145,FALSE
54,2955,55.241,15,FALSE
39,3390,108.6,30,FALSE
79,10704,440.04,125,FALSE
55,2470,157.939,45,FALSE
63,7500,72.416,21,FALSE
54,5524,187.355,55,FALSE
55,3860,127.393,40,FALSE
72,5979,117.094,38,FALSE
50,10411,211.818,70,FALSE
80,16618,448.512,150,FALSE
50,10490,183.953,63,FALSE
81,6326,142.841,50,FALSE
56,16072,551.85,200,FALSE
40,3534,74.08,27,FALSE
63,8601,214.945,80,FALSE
75,17512,368.404,140,FALSE
43,4955,96,37,FALSE
71,4383,62.053,24,FALSE
67,7450,127.868,50.2,FALSE
29,5921,40.492,16,FALSE
79,4789,44.267,18,FALSE
81,7942,269.811,110,FALSE
70,4655,97.983,40,FALSE
59,10349,182.485,75,FALSE
57,5656,97.137,40,FALSE
57,6167,144.5,60,FALSE
81,5461,87.947,37,FALSE
46,3504,82.069,35,FALSE
44,4588,83.16,36,FALSE
32,3769,91.6,40,FALSE
70,5427,45.429,20,FALSE
63,6935,135.443,60,FALSE
88,15134,353.623,160,FALSE
76,8623,284.386,130,FALSE
42,5763,170.301,80,FALSE
67,4880,63.781,30,FALSE
41,4622,89.162,42,FALSE
89,6516,102.109,50,FALSE
50,3014,39.664,20,FALSE
47,9335,227.8,120,FALSE
82,4879,75.009,40,FALSE
69,9722,245.154,135,FALSE
71,4506,34.044,19,FALSE
48,2875,132.147,75,FALSE
46,4405,52.408,30,FALSE
61,93230,54.303,32,FALSE
50,5047,28.833,17,FALSE
61,7135,121.504,75,FALSE
87,8500,72.426,45,FALSE
25,2995,38.702,25,FALSE
55,3982,60.965,40,FALSE
50,1806,30.426,20,FALSE
48,4616,40.546,28,FALSE
53,4645,70.833,52,FALSE
37,5221,78.308,60,FALSE
52,4226,51.2,40,FALSE
37,3089,31.546,25,FALSE
68,2477,37.102,30,FALSE
88,41038,24.541,20,FALSE
49,3731,45.735,40,FALSE
79,3267,33.152,30,FALSE
48,13935,219.851,200,FALSE
48,6284,89.792,82,FALSE
43,3782,27.121,25,FALSE
50,9715,174.821,163,FALSE
59,7273,83.911,79,FALSE
84,5873,35.057,35,FALSE
31,6060,69.7,70,FALSE
93,2805,23.057,25,FALSE
84,7174,8.258,10,FALSE
59,5889,106.507,135,FALSE
38,3055,38.502,50,FALSE
48,3132,52.961,70,FALSE
52,2835,27.428,38,FALSE
38,2265,28.931,45,FALSE
82,3537,91.203,150,FALSE
65,4960,14.211,25,FALSE
34,3324,48.795,90,FALSE
36,3380,24.856,49.9,FALSE
48,2259,21.552,45,FALSE
66,3856,14.19,30,FALSE
55,6111,4.8,15,FALSE
57,4890,6.37,21,FALSE
46,1730,6.928,25,FALSE
43,2218,38.992,150,FALSE
62,1513,7.41,41,FALSE
53,2972,0.025,5,FALSE